full_nameyears,sentence,label,sentiment_label,sentiment_score
2006 Arroyo,built telecommunications infrastructure opened market internet phone calls.,,,
2006 Arroyo,"today international calls cost cents minute, cents.",,,
2006 Arroyo,", bpo workers , ,.",,,
2006 Arroyo,coffee call center agents last labor day.,,,
2006 Arroyo,"lyn, new college graduate, told me, now dont leave country order help family.",,,
2006 Arroyo,salamat po.,,,
2006 Arroyo,"touched, lyn, comments.",,,
2006 Arroyo,"structural reforms, found jobs, kept families intact.",,,
2006 Arroyo,"thank god, thought, someone might also try impeach violating article constitution solidarity family foundation nation.",,,
2006 Arroyo,"louie villafuerte argues, step future, country wants player global economy needs bold wellfunded research development initiatives own.",,,
2006 Arroyo,"end, continuously increase budget science technology education.",,,
2006 Arroyo,"todays global economy, knowledge greatest creator wealth.",,,
2006 Arroyo,"summary, named priorities illustrate many fronts, government working, working well.",,,
2006 Arroyo,economy growing longest period last quartercentury consecutive quarters growth.,,,
2006 Arroyo,"umakyat ng mahigit ang kita ng pinakamahihirap na pamilya sa unang tatlong taon ng ating panunungkulan, bumaba ang dami ng maralita sa ng mga pamilya, mula , katumbas ng milyong katao na lumaya sa kahirapan.",,,
2006 Arroyo,"according thornton punongbayan, mediumsized business owners optimistic, fifth optimistic among countries, behind india, ireland, south africa, china.",,,
2006 Arroyo,"bickering politics may delay, derail, initiatives need taken propoor, progrowth, propeace agenda.",,,
2006 Arroyo,"regardless fate national budget, must automate election process.",,,
2006 Arroyo,local governments must get rightful share revenues.,,,
2006 Arroyo,ask congress pass supplemental budget effect this.,,,
2006 Arroyo,great people.,,,
2006 Arroyo,honest students honest cops.,,,
2006 Arroyo,"scaled heights mount everest, dominated southeast asian games, international beauty titles, course punched way triumph boxing world.",,,
2006 Arroyo,people compete win every day every imaginable job throughout world.,,,
2006 Arroyo,"individually, weve taken world together, must take challenge creating new, peaceful, humane, competitive nation prevail.",,,
2006 Arroyo,"want pick old fights, were game waste time.",,,
2006 Arroyo,"join hands instead join hands biggest challenge all, win lose battle survival progress one country.",,,
2006 Arroyo,"years, months, days, shall relinquish presidency, much outlined completed.",,,
2006 Arroyo,"want said that, end, defeated enemies.",,,
2006 Arroyo,"would rather said us, i, friends foes today, achieved together country progressive, prosperous, united.",,,
2006 Arroyo,thank you.,,,
2006 Arroyo,mabuhay!,,,
2006 Arroyo, seventh state nation address excellency gloria macapagalarroyo president philippines opening regular session congress thank you.,,,
2006 Arroyo,"thank much speaker de venecia senate president villar newly elected leaders houses, congratulations senators congressmen congresswomen.",,,
2006 Arroyo,"vice president de castro former president ramos chief justice puno host mayor, mayor sonny belmonte government officials members diplomatic corps ladies gentlemen.",,,
2006 Arroyo,meet today inaugurate new congress fresh election.,,,
2006 Arroyo,"congratulate every elected official, municipal provincial congress hard fought successful campaigns.",,,
